family,name,target,feasibility,confidence,horizon,direction,tushare,institutional_relevance
价值/估值（Value）,行业内横截面 EP（盈利收益率·行业中性化）,valuation_rerating,GREEN,high,1-3 个月；对本系统 2-4 周短中窗口仍适用（IC 随 horizon 先升后降，2-4 周 IC 正但略低于月度）,高 EP_IND（同业中最便宜）→ 看多,"daily_basic, income, index_member_all, index_classify, st",高。机构选股 roadshow 惯用同业 PE 对比，行业内 EP 排名直接对应机构相对配置逻辑。
价值/估值（Value）,账面市值比 BP（Book-to-Price）,valuation_rerating,GREEN,high,1-3 个月（月均再平衡）,高 BP（便宜）→ 看多,"daily_basic, balancesheet, disclosure_date, st",高。公募基金价值评分必含 PB，北向外资惯用 P/BV。
价值/估值（Value）,自由现金流收益率 FCF/P（市值口径）,valuation_rerating,GREEN,high,1-3 个月（适合本系统 2-4 周窗口）,高 FCF/P → 看多,"cashflow, daily_basic, disclosure_date",高。机构（主动管理/量化）正在加大 FCF yield 权重，2024 FCF 指数基金发行量提升佐证。
价值/估值（Value）,EV/EBITDA 倒数（企业倍数因子）,valuation_rerating,GREEN,high,1-3 个月,高 EBITDA_Yield（= 低 EV/EBITDA）→ 看多,"daily_basic, balancesheet, income, cashflow",高。机构 DCF 分析师惯用 EV/EBITDA 跨国、跨资本结构比较，是并购定价基准。
价值/估值（Value）,FCF/EV（企业价值口径 FCF 收益率）,valuation_rerating,GREEN,med,1-3 个月,高 FCF/EV → 看多,"cashflow, daily_basic, balancesheet",高。PE/VC 机构估值标准指标，北向外资也用 EV 口径做跨市场比较。
价值/估值（Value）,股息率（Dividend Yield）,valuation_rerating,GREEN,high,中长期（1-6 个月），在利率下行 / 风险规避市场中短期也有效,高 DY → 看多,"dividend, daily_basic",极高。保险/社保/年金强制配置高股息资产；红利 ETF 规模持续扩大，机构流量明确。
价值/估值（Value）,PEG 因子（PE 对增长率比值）,valuation_rerating,GREEN,med,1-6 个月（中长期更有效）,低 PEG（=高−PEG）→ 看多,"daily_basic, report_rc",高。主动基金经理和外资研报均标配 PEG，尤其科技/消费成长赛道。
价值/估值（Value）,PS（市销率）倒数 SP（Sales-to-Price）,valuation_rerating,GREEN,high,1-3 个月,高 SP（低 PS）→ 看多,"daily_basic, income, index_member_all",中等。主要用于亏损阶段高成长公司的估值，外资科技分析师习惯用 EV/Revenue（企业价值/收入）。
价值/估值（Value）,AH 股折价因子,valuation_rerating,GREEN,high,2-8 周（中期）,低 AH_Premium（A 股相对 H 股便宜）→ 看多,stk_ah_comparison,极高。外资/QFII 最直接利用 AH 折溢价套利；国内公募的 AH 配置比较基准也依赖此数据。
价值/估值（Value）,预期 PE（Forward PE 横截面排名）,expectation_gap,GREEN,high,1-3 个月（短期分析师覆盖更新快）,低 Forward_PE（行业内）→ 看多,"report_rc, daily_basic",极高。机构路演核心指标；券商研报目标价几乎全用 Forward PE × 目标倍数，机构对此因子赋权重高。
价值/估值（Value）,历史估值百分位（自身时序 PE 分位）横截面化改进,valuation_rerating,GREEN,high,1-3 个月,低行业内 PE_pct 排名（= 相对同业历史便宜）→ 看多,"daily_basic, index_member_all",中高。机构做行业配置时常对比同行历史估值分位，改进版更接近机构视角。
价值/估值（Value）,现金流市值比 CFP（Cash Flow Yield）,fundamental_score,GREEN,med,1-3 个月,高 CFP → 看多,"cashflow, daily_basic",中。机构在做财务质量筛选时使用，单独因子权重低。
价值/估值（Value）,应计异象因子（Sloan Accruals / 盈利质量调整估值）,fundamental_score,GREEN,med,3-12 个月（长期）,低应计比（= 盈利质量高）→ 看多,"balancesheet, cashflow, income",中高。主动管理机构的财务分析必含盈利质量审查；量化基金用于剔除盈余管理股。
价值/估值（Value）,行业相对 PB（分层 Book-to-Market + 资产质量调整）,valuation_rerating,GREEN,high,1-3 个月,高 BP_adj（有形资产便宜）→ 看多,"daily_basic, balancesheet",高。主动管理机构做 DuPont 分析时关注资产质量，商誉问题是机构 red flag。
价值/估值（Value）,利率调整 EP（BEER 模型 / 债股收益比）,valuation_rerating,YELLOW,med,中长期（宏观 regime 因子，1-12 个月）；短期信号弱,高 EP − r_10Y（EP 溢价大）→ 看多,"daily_basic, shibor_lpr",极高。险资/社保的战略配置框架核心依据，公募基金资产配置委员会必看指标。
价值/估值（Value）,负 PE 处理：EP 插补与哑变量（负盈利估值修正）,risk_discount,GREEN,high,横截面统计，非独立预测因子；适用所有 EP/PE 类因子,D_loss = 1 → 负信号（可映射 risk_discount）,"income, daily_basic, fina_indicator",高（因子卫生要求）。机构系统性排除亏损股或单独对亏损股降权，负 EP 处理是机构标准流程。
quality,Piotroski F-Score,fundamental_score,GREEN,high,季报/年报更新后1-3个月持有；典型调仓频率为季度。不覆盖系统2-4周窗但可作为季度级fundamental_score输入。,高F值→看多（F≥7强多，F≤2强空）,"income, cashflow, balancesheet, fina_indicator",高——F-Score逻辑与机构基本面分析框架完全一致；机构持仓换手率低适合季度频率信号。
quality,Sloan BS-Accruals,fundamental_score,GREEN,high,年报更新后持有12个月典型；季度频率计算可缩短至3-6月。接近2-4周的信号需与快报(express)结合使用。,低应计比率→看多（应计比率与未来股票收益负相关）,"balancesheet, cashflow, income",高——机构调研时会审查CFO/净利润比，与本因子信号一致。
quality,CF-Accruals (现金流应计比率),fundamental_score,GREEN,high,季度更新，3-6个月预测窗口；季频rebalance适合2-4周系统作为季度分层信号。,低CF_Accrual(CFO>净利润)→看多,"cashflow, income, balancesheet",高——机构财务分析标配，CFO/净利润比是卖方研究核心质量指标。
quality,Novy-Marx GP/Assets,fundamental_score,GREEN,high,年报/季报更新后持有1-4个季度；12个月IC最强。本系统2-4周窗内GPOA作为底层fundamental分层信号。,高GPOA→看多,"income, balancesheet, fina_indicator",中-高——机构分析师关注毛利率趋势，GPOA将截面维度系统化。
quality,RONOA (净经营资产回报率),fundamental_score,GREEN,high,年报更新后持有6-12个月；季频计算可用于2-4周short-term fundamental scoring。,高RONOA→看多,"income, balancesheet, fina_indicator",极高——与DCF模型中ROIC>WACC价值创造逻辑完全对应，是机构fundamental分析标配。
quality,ROE Stability (ROE稳定性/持续性),fundamental_score,GREEN,high,需8个季度历史数据（2年），典型持仓6-12个月；作为fundamental_score的调节项适合本系统。,高稳定性×高ROE→看多,fina_indicator,"极高——A股机构""GARP""(合理价格买成长)策略核心指标，适合机构为主市场。"
quality,Asset Growth (总资产增长率),fundamental_score,GREEN,med,年报更新后持有12个月最优；季度同比版可缩短至3-6个月。,低资产增长率→看多（高AG负向预测）,"balancesheet, fina_indicator","中——机构关注ROIC趋势更甚于AG绝对值，但AG作为""过度扩张预警""信号有用。"
quality,Net Operating Assets (净营运资产/NOA),fundamental_score,GREEN,med,年报级别，持有12个月；季度更新版持有3-6个月。,低NOA(较少净营运资产积累)→看多,"balancesheet, fina_indicator",中——机构分析师更直接用NWC(净营运资本)而非NOA，但逻辑相通。
quality,Altman Z'-Score,risk_discount,GREEN,med,年报更新后有效期12-24个月；季报简表可更新X1/X3/X5部分。,高Z'→看多（低财务困境概率）；低Z'→风险折扣,"balancesheet, income, fina_indicator",高——信用分析是机构风控核心，Z-Score是基础工具。
quality,Merton Distance-to-Default (违约距离),risk_discount,YELLOW,med,日频更新（市价驱动），2-4周内有效信号。完全覆盖系统2-4周预测窗。,高DD→看多；DD骤降（滚动ΔDD<−2σ）→风险折扣触发,"daily_basic, daily, balancesheet, shibor_lpr",极高——机构信用分析/风险管理部门标配，DD是CDS定价基础。
quality,DuPont ROE Decomposition Quality,fundamental_score,GREEN,med,年报/季报更新，持有6-12个月；作为ROE因子的质量调节项。,经营驱动ROE占比高→看多；杠杆驱动占比高→折扣,"income, balancesheet, fina_indicator","极高——基本面机构研究的标准框架，与""PB-ROE估值体系""完全对接。"
quality,FCFF/IC (自由现金流投入资本回报),fundamental_score,GREEN,med,TTM平滑季度波动，持有6-12个月；系统已有L5.cf.fcf dp_id可直接复用。,高FCFFIC→看多,"cashflow, balancesheet, fina_indicator","高——""自由现金流""是2024-2025年A股机构投资者最关注的质量指标，机构主题ETF大量布局。"
quality,SUE (标准化非预期盈余),expectation_gap,GREEN,high,业绩公告后2-8周最强（覆盖系统2-4周窗）。,高正SUE(实际超预期)→看多；大负SUE→风险折扣,"fina_indicator, income, report_rc, express",高——分析师修正跟踪是机构研究核心流程，SUE直接量化预期差。
quality,Earnings Revision Momentum (盈余预测修正动量),expectation_gap,GREEN,high,2-8周（完全覆盖系统2-4周窗）——是本族中最适合2-4周预测窗的因子之一。,正修正动量(EPS上调)→看多,report_rc,极高——直接反映机构信息网络中卖方预期变化，是机构之间信息传导的核心机制。
quality,Ohlson O-Score (财务困境Logit模型),risk_discount,GREEN,med,年报级别，有效期12个月；可用快报季度数据做中间更新。,低O-Score(低破产概率)→看多；高O-Score→风险折扣,"balancesheet, income, cashflow",中——机构内部信用研究使用，但不如Merton DD前瞻性强。
quality,Gross Margin Trend (毛利率趋势变化),fundamental_score,GREEN,med,季报更新后1-3个月；2-4周窗内是本系统fundamental_score的边际调节项。,毛利率同比/环比改善→看多,"fina_indicator, income","高——卖方研究中""毛利率拐点""是最常见的推荐逻辑之一，本因子量化了这一逻辑。"
momentum_reversal,Cross-Sectional 12-1 Price Momentum,capital_sentiment,GREEN,med,1个月持有（月频换仓），2-4周持有也可；A股实证典型回看12月,高值看多（过去12-1月强势股继续跑赢）—— 但A股整体IC为负，慎用原始版本,"daily, daily_basic, index_member_all",低——A股传统截面动量失效主要因散户主导过度反应；但机构资金加速流入的股票确有惯性，需与机构持仓数据融合
momentum_reversal,Short-Term 1-Month Reversal,capital_sentiment,GREEN,high,1-4周（A股最强的量价信号之一）,高值（近期大跌者）看多,"daily, daily_basic, index_member_all",中等——机构逢低买入行为是反转效应的主要驱动，中证1000空间大于沪深300
momentum_reversal,Residual/Idiosyncratic Momentum (Alpha Momentum),capital_sentiment,GREEN,high,1-3个月（比原始动量更稳定，适配系统2-4周窗）,高值看多,"daily, index_daily, index_member_all, ci_daily",高——机构买入往往留存于残差中，而公共市场/行业Beta被噪音淹没；适合机构为主市场
momentum_reversal,52-Week High Momentum (George-Hwang),capital_sentiment,GREEN,med,1-3个月（中期动量信号）,高值看多（价格越接近历史高点，后续相对越强）,"daily, daily_basic",中——机构研究员在目标价制定时频繁参照历史高点，行为锚定在机构也存在
