endpoint,label_en,mvp20_capability,fmp_tier_required,currently_subscribed,status,notes
/stock/list,Symbol list,company_profile,F,yes,covered,
/profile,Company profile,company_profile,S,yes,covered,
/company-outlook,Company outlook,company_profile,S,yes,covered,
/key-executives,Key executives,company_profile,S,yes,covered,
/executive-compensation,Exec compensation,company_profile,P,no,covered,
/historical-employees,Employee count history,company_profile,S,yes,covered,
/stock_peers,Peer companies,peer_comparison,S,yes,covered,Round 4 — 自动找同业
/quote,Real-time quote,price_daily,S,yes,covered,
/quote-short,Short quote,price_daily,S,yes,covered,
/historical-price-full,Historical daily prices,price_daily,S,yes,covered,
/historical-chart/1day,Daily candles,price_daily,S,yes,covered,
/historical-chart/1hour,Hourly candles,price_intraday,S,yes,covered,
/historical-chart/4hour,4-hour candles,price_intraday,S,yes,covered,
/historical-chart/30min,30min candles,price_intraday,P,no,covered,
/historical-chart/15min,15min candles,price_intraday,P,no,covered,
/historical-chart/5min,5min candles,price_intraday,P,no,covered,
/historical-chart/1min,1min candles,price_intraday,P,no,covered,
/income-statement,Income statement,fundamentals,S,yes,covered,
/balance-sheet-statement,Balance sheet,fundamentals,S,yes,covered,
/cash-flow-statement,Cash flow,fundamentals,S,yes,covered,
/key-metrics,Key metrics,fundamentals,S,yes,covered,
/key-metrics-ttm,Key metrics TTM,fundamentals,S,yes,covered,
/ratios-ttm,Financial ratios TTM,fundamentals,S,yes,covered,Actual code path in fmp_source.py
/financial-growth,Growth metrics,fundamentals,S,yes,covered,
/enterprise-values,Enterprise values,fundamentals,S,yes,covered,
/financial-score,Financial health score,fundamentals,P,no,covered,
/owner_earnings,Owner earnings,fundamentals,P,no,covered,
/stable/discounted-cash-flow,DCF intrinsic value,dcf_valuation,S,yes,covered,Starter verified 2026-05 — direct DCF intrinsic value
/levered-discounted-cash-flow,Levered DCF,dcf_valuation,P,no,covered,Round 4
/historical-discounted-cash-flow-statement,Historical DCF,dcf_valuation,P,no,covered,Round 4
/earning_calendar,Earnings calendar,earnings_calendar,S,yes,covered,
/earnings-confirmed,Confirmed earnings,earnings_calendar,S,yes,covered,
/earning-historical,Historical earnings,earnings_calendar,S,yes,covered,
/earnings-surprises,Earnings surprises,earnings_calendar,S,yes,covered,
/earning_call_transcript,Earnings call transcript,earnings_transcripts,P,no,covered,Premium tier required
/earning_call_transcript-list,Transcript list,earnings_transcripts,P,no,covered,Premium tier required
/stock_news,Stock news,news,S,yes,covered,
/general_news,General news,news,S,yes,covered,
/press-releases,Press releases,news,S,yes,covered,
/insider-trading,Insider trades,insider_trading,S,yes,covered,Basic; daily updates require P
/insider-roster,Insider roster,insider_trading,P,no,covered,
/insider-trades-statistics,Insider stats,insider_trading,P,no,covered,
/institutional-holder,Institutional holders,institutional_holdings,P,no,covered,Premium tier required
/13F,13F filings,institutional_holdings,P,no,covered,Premium tier required
/etf-holder,ETF holders,institutional_holdings,P,no,covered,
/institutional-symbol-ownership,Symbol ownership,institutional_holdings,P,no,covered,
/historical-chain,Options chain,options_chain,P,no,covered,Premium tier required
/historical-volatility,Implied volatility,options_iv,P,no,covered,Premium tier required
/stable/sec-filings-search/symbol,SEC filings search,sec_filings,S,yes,covered,Starter verified 2026-05
/rss_feed,Filings RSS,sec_filings,P,no,covered,Premium tier required
/stable/analyst-estimates,Analyst estimates,analyst_estimates,S,yes,covered,Starter verified 2026-05
/analyst-stock-recommendations,Recommendations,analyst_estimates,P,no,covered,
/price-target,Price target consensus,analyst_estimates,P,no,covered,
/upgrades-downgrades,Rating changes,analyst_estimates,P,no,covered,
/grade,Analyst grade,analyst_estimates,P,no,covered,
/historical-stock-dividend,Dividend history,dividends,S,yes,covered,
/dividend-calendar,Dividend calendar,dividends,S,yes,covered,
/historical/buyback,Stock buyback,buyback,S,yes,covered,
/shares_float,Shares float,buyback,S,yes,covered,
/historical-stock-split,Stock splits,corporate_actions,S,yes,covered,Round 4
/stock_split_calendar,Split calendar,corporate_actions,S,yes,covered,Round 4
/mergers-acquisitions,M&A history,corporate_actions,P,no,covered,Round 4
/historical-index,Index historical,market_index,S,yes,covered,
/sector-performance,Sector performance,market_index,S,yes,covered,
/stock-market-performance,Market overview,market_index,S,yes,covered,
/market_risk_premium,Market risk premium,market_index,P,no,covered,
/stable/treasury-rates,US Treasury yield curve,treasury_rates,S,yes,covered,Actual code path in fmp_source.py — DCF 折现率必备
/stable/economic-calendar,Economic indicators,macro,S,yes,covered,Actual code path in fmp_source.py
/esg-environmental-social-governance-data,ESG scores,esg_score,U,no,covered,Ultimate tier required
/esg-environmental-social-governance-ratings,ESG ratings,esg_score,U,no,covered,Ultimate tier required
/senate-trading,Senate trades,government_trading,U,no,covered,Ultimate tier required
/senate-disclosure,Senate disclosures,government_trading,U,no,covered,Ultimate tier required
/house-disclosure,House trades,government_trading,U,no,covered,Ultimate tier required
/ipo_calendar,IPO calendar,ipo_calendar,S,yes,covered,Round 4
/market-hours,Market hours,trading_calendar,S,yes,covered,
/holiday-calendar,Holiday calendar,trading_calendar,S,yes,covered,
/stable/historical-price-eod,Forex / DXY macro inputs,forex,S,yes,covered,Starter verified 2026-05 — powers L7.env.fx and L9.macro.fx
/crypto,Crypto,,S,yes,out_of_scope,out_of_scope_crypto_not_in_universe
/commodity,Commodities,,S,yes,out_of_scope,out_of_scope_commodity_not_in_universe
/commitment-of-traders-report,COT report,,P,no,out_of_scope,out_of_scope_futures_not_in_universe
